"District","FIPS","Year","Gender","Variable","Measure Type","Value"
"Achievement First Bridgeport Academy District","","2010-2011","Female","Total Cohort Count","Number","-6666"
"Achievement First Bridgeport Academy District","","2010-2011","Male","Total Cohort Count","Number","-6666"
"Achievement First Bridgeport Academy District","","2010-2011","Female","Four Year Graduation Count","Number","-6666"
"Achievement First Bridgeport Academy District","","2010-2011","Male","Four Year Graduation Count","Number","-6666"
"Achievement First Bridgeport Academy District","","2010-2011","Female","Four Year Graduation Rate","Percent","-6666"
"Achievement First Bridgeport Academy District","","2010-2011","Male","Four Year Graduation Rate","Percent","-6666"
"Achievement First Bridgeport Academy District","","2010-2011","Female","Still Enrolled After Four Years Count","Number","-6666"
"Achievement First Bridgeport Academy District","","2010-2011","Male","Still Enrolled After Four Years Count","Number","-6666"
"Achievement First Bridgeport Academy District","","2010-2011","Female","Still Enrolled After Four Years Rate","Percent","-6666"
"Achievement First Bridgeport Academy District","","2010-2011","Male","Still Enrolled After Four Years Rate","Percent","-6666"
"Achievement First Bridgeport Academy District","","2010-2011","Female","Other Count","Number","-6666"
"Achievement First Bridgeport Academy District","","2010-2011","Male","Other Count","Number","-6666"
"Achievement First Bridgeport Academy District","","2010-2011","Female","Other Rate","Percent","-6666"
"Achievement First Bridgeport Academy District","","2010-2011","Male","Other Rate","Percent","-6666"
"Achievement First Bridgeport Academy District","","2011-2012","Female","Total Cohort Count","Number","-6666"
"Achievement First Bridgeport Academy District","","2011-2012","Male","Total Cohort Count","Number","-6666"
"Achievement First Bridgeport Academy District","","2011-2012","Female","Four Year Graduation Count","Number","-6666"
"Achievement First Bridgeport Academy District","","2011-2012","Male","Four Year Graduation Count","Number","-6666"
"Achievement First Bridgeport Academy District","","2011-2012","Female","Four Year Graduation Rate","Percent","-6666"
"Achievement First Bridgeport Academy District","","2011-2012","Male","Four Year Graduation Rate","Percent","-6666"
"Achievement First Bridgeport Academy District","","2011-2012","Female","Still Enrolled After Four Years Count","Number","-6666"
"Achievement First Bridgeport Academy District","","2011-2012","Male","Still Enrolled After Four Years Count","Number","-6666"
"Achievement First Bridgeport Academy District","","2011-2012","Female","Still Enrolled After Four Years Rate","Percent","-6666"
"Achievement First Bridgeport Academy District","","2011-2012","Male","Still Enrolled After Four Years Rate","Percent","-6666"
"Achievement First Bridgeport Academy District","","2011-2012","Female","Other Count","Number","-6666"
"Achievement First Bridgeport Academy District","","2011-2012","Male","Other Count","Number","-6666"
"Achievement First Bridgeport Academy District","","2011-2012","Female","Other Rate","Percent","-6666"
"Achievement First Bridgeport Academy District","","2011-2012","Male","Other Rate","Percent","-6666"
