"District","FIPS","Year","Gender","Variable","Measure Type","Value"
"Achievement First Bridgeport Academy District","","2012-2013","Female","Total Cohort Count","Number","-6666"
"Achievement First Bridgeport Academy District","","2012-2013","Male","Total Cohort Count","Number","-6666"
"Achievement First Bridgeport Academy District","","2012-2013","Female","Four Year Graduation Count","Number","-6666"
"Achievement First Bridgeport Academy District","","2012-2013","Male","Four Year Graduation Count","Number","-6666"
"Achievement First Bridgeport Academy District","","2012-2013","Female","Four Year Graduation Rate","Percent","-6666"
"Achievement First Bridgeport Academy District","","2012-2013","Male","Four Year Graduation Rate","Percent","-6666"
"Achievement First Bridgeport Academy District","","2012-2013","Female","Still Enrolled After Four Years Count","Number","-6666"
"Achievement First Bridgeport Academy District","","2012-2013","Male","Still Enrolled After Four Years Count","Number","-6666"
"Achievement First Bridgeport Academy District","","2012-2013","Female","Still Enrolled After Four Years Rate","Percent","-6666"
"Achievement First Bridgeport Academy District","","2012-2013","Male","Still Enrolled After Four Years Rate","Percent","-6666"
"Achievement First Bridgeport Academy District","","2012-2013","Female","Other Count","Number","-6666"
"Achievement First Bridgeport Academy District","","2012-2013","Male","Other Count","Number","-6666"
"Achievement First Bridgeport Academy District","","2012-2013","Female","Other Rate","Percent","-6666"
"Achievement First Bridgeport Academy District","","2012-2013","Male","Other Rate","Percent","-6666"
"Achievement First Bridgeport Academy District","","2013-2014","Female","Total Cohort Count","Number","-6666"
"Achievement First Bridgeport Academy District","","2013-2014","Male","Total Cohort Count","Number","-6666"
"Achievement First Bridgeport Academy District","","2013-2014","Female","Four Year Graduation Count","Number","-6666"
"Achievement First Bridgeport Academy District","","2013-2014","Male","Four Year Graduation Count","Number","-6666"
"Achievement First Bridgeport Academy District","","2013-2014","Female","Four Year Graduation Rate","Percent","-6666"
"Achievement First Bridgeport Academy District","","2013-2014","Male","Four Year Graduation Rate","Percent","-6666"
"Achievement First Bridgeport Academy District","","2013-2014","Female","Still Enrolled After Four Years Count","Number","-6666"
"Achievement First Bridgeport Academy District","","2013-2014","Male","Still Enrolled After Four Years Count","Number","-6666"
"Achievement First Bridgeport Academy District","","2013-2014","Female","Still Enrolled After Four Years Rate","Percent","-6666"
"Achievement First Bridgeport Academy District","","2013-2014","Male","Still Enrolled After Four Years Rate","Percent","-6666"
"Achievement First Bridgeport Academy District","","2013-2014","Female","Other Count","Number","-6666"
"Achievement First Bridgeport Academy District","","2013-2014","Male","Other Count","Number","-6666"
"Achievement First Bridgeport Academy District","","2013-2014","Female","Other Rate","Percent","-6666"
"Achievement First Bridgeport Academy District","","2013-2014","Male","Other Rate","Percent","-6666"
"Achievement First Bridgeport Academy District","","2014-2015","Female","Total Cohort Count","Number","17"
"Achievement First Bridgeport Academy District","","2014-2015","Male","Total Cohort Count","Number","14"
"Achievement First Bridgeport Academy District","","2014-2015","Female","Four Year Graduation Count","Number","16"
"Achievement First Bridgeport Academy District","","2014-2015","Male","Four Year Graduation Count","Number","13"
"Achievement First Bridgeport Academy District","","2014-2015","Female","Four Year Graduation Rate","Percent","94.1"
"Achievement First Bridgeport Academy District","","2014-2015","Male","Four Year Graduation Rate","Percent","92.9"
"Achievement First Bridgeport Academy District","","2014-2015","Female","Still Enrolled After Four Years Count","Number","-9999"
"Achievement First Bridgeport Academy District","","2014-2015","Male","Still Enrolled After Four Years Count","Number","-9999"
"Achievement First Bridgeport Academy District","","2014-2015","Female","Still Enrolled After Four Years Rate","Percent","-9999"
"Achievement First Bridgeport Academy District","","2014-2015","Male","Still Enrolled After Four Years Rate","Percent","-9999"
"Achievement First Bridgeport Academy District","","2014-2015","Female","Other Count","Number","-9999"
"Achievement First Bridgeport Academy District","","2014-2015","Male","Other Count","Number","-9999"
"Achievement First Bridgeport Academy District","","2014-2015","Female","Other Rate","Percent","-9999"
"Achievement First Bridgeport Academy District","","2014-2015","Male","Other Rate","Percent","-9999"
"Achievement First Bridgeport Academy District","","2015-2016","Female","Total Cohort Count","Number","17"
"Achievement First Bridgeport Academy District","","2015-2016","Male","Total Cohort Count","Number","13"
"Achievement First Bridgeport Academy District","","2015-2016","Female","Four Year Graduation Count","Number","-9999"
"Achievement First Bridgeport Academy District","","2015-2016","Male","Four Year Graduation Count","Number","-9999"
"Achievement First Bridgeport Academy District","","2015-2016","Female","Four Year Graduation Rate","Percent","-9999"
"Achievement First Bridgeport Academy District","","2015-2016","Male","Four Year Graduation Rate","Percent","-9999"
"Achievement First Bridgeport Academy District","","2015-2016","Female","Still Enrolled After Four Years Count","Number","-9999"
"Achievement First Bridgeport Academy District","","2015-2016","Male","Still Enrolled After Four Years Count","Number","-9999"
"Achievement First Bridgeport Academy District","","2015-2016","Female","Still Enrolled After Four Years Rate","Percent","-9999"
"Achievement First Bridgeport Academy District","","2015-2016","Male","Still Enrolled After Four Years Rate","Percent","-9999"
"Achievement First Bridgeport Academy District","","2015-2016","Female","Other Count","Number","0"
"Achievement First Bridgeport Academy District","","2015-2016","Male","Other Count","Number","-9999"
"Achievement First Bridgeport Academy District","","2015-2016","Female","Other Rate","Percent","-9999"
"Achievement First Bridgeport Academy District","","2015-2016","Male","Other Rate","Percent","-9999"
"Achievement First Bridgeport Academy District","","2016-2017","Female","Total Cohort Count","Number","16"
"Achievement First Bridgeport Academy District","","2016-2017","Male","Total Cohort Count","Number","15"
"Achievement First Bridgeport Academy District","","2016-2017","Female","Four Year Graduation Count","Number","-9999"
"Achievement First Bridgeport Academy District","","2016-2017","Male","Four Year Graduation Count","Number","-9999"
"Achievement First Bridgeport Academy District","","2016-2017","Female","Four Year Graduation Rate","Percent","-9999"
"Achievement First Bridgeport Academy District","","2016-2017","Male","Four Year Graduation Rate","Percent","-9999"
"Achievement First Bridgeport Academy District","","2016-2017","Female","Still Enrolled After Four Years Count","Number","-9999"
"Achievement First Bridgeport Academy District","","2016-2017","Male","Still Enrolled After Four Years Count","Number","-9999"
"Achievement First Bridgeport Academy District","","2016-2017","Female","Still Enrolled After Four Years Rate","Percent","-9999"
"Achievement First Bridgeport Academy District","","2016-2017","Male","Still Enrolled After Four Years Rate","Percent","-9999"
"Achievement First Bridgeport Academy District","","2016-2017","Female","Other Count","Number","0"
"Achievement First Bridgeport Academy District","","2016-2017","Male","Other Count","Number","0"
"Achievement First Bridgeport Academy District","","2016-2017","Female","Other Rate","Percent","-9999"
"Achievement First Bridgeport Academy District","","2016-2017","Male","Other Rate","Percent","-9999"
"Achievement First Hartford Academy District","","2010-2011","Female","Total Cohort Count","Number","-6666"
"Achievement First Hartford Academy District","","2010-2011","Male","Total Cohort Count","Number","-6666"
"Achievement First Hartford Academy District","","2010-2011","Female","Four Year Graduation Count","Number","-6666"
"Achievement First Hartford Academy District","","2010-2011","Male","Four Year Graduation Count","Number","-6666"
"Achievement First Hartford Academy District","","2010-2011","Female","Four Year Graduation Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2010-2011","Male","Four Year Graduation Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2010-2011","Female","Still Enrolled After Four Years Count","Number","-6666"
"Achievement First Hartford Academy District","","2010-2011","Male","Still Enrolled After Four Years Count","Number","-6666"
"Achievement First Hartford Academy District","","2010-2011","Female","Still Enrolled After Four Years Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2010-2011","Male","Still Enrolled After Four Years Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2010-2011","Female","Other Count","Number","-6666"
"Achievement First Hartford Academy District","","2010-2011","Male","Other Count","Number","-6666"
"Achievement First Hartford Academy District","","2010-2011","Female","Other Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2010-2011","Male","Other Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2011-2012","Female","Total Cohort Count","Number","-6666"
"Achievement First Hartford Academy District","","2011-2012","Male","Total Cohort Count","Number","-6666"
"Achievement First Hartford Academy District","","2011-2012","Female","Four Year Graduation Count","Number","-6666"
"Achievement First Hartford Academy District","","2011-2012","Male","Four Year Graduation Count","Number","-6666"
"Achievement First Hartford Academy District","","2011-2012","Female","Four Year Graduation Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2011-2012","Male","Four Year Graduation Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2011-2012","Female","Still Enrolled After Four Years Count","Number","-6666"
"Achievement First Hartford Academy District","","2011-2012","Male","Still Enrolled After Four Years Count","Number","-6666"
"Achievement First Hartford Academy District","","2011-2012","Female","Still Enrolled After Four Years Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2011-2012","Male","Still Enrolled After Four Years Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2011-2012","Female","Other Count","Number","-6666"
"Achievement First Hartford Academy District","","2011-2012","Male","Other Count","Number","-6666"
"Achievement First Hartford Academy District","","2011-2012","Female","Other Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2011-2012","Male","Other Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2012-2013","Female","Total Cohort Count","Number","-6666"
"Achievement First Hartford Academy District","","2012-2013","Male","Total Cohort Count","Number","-6666"
"Achievement First Hartford Academy District","","2012-2013","Female","Four Year Graduation Count","Number","-6666"
"Achievement First Hartford Academy District","","2012-2013","Male","Four Year Graduation Count","Number","-6666"
"Achievement First Hartford Academy District","","2012-2013","Female","Four Year Graduation Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2012-2013","Male","Four Year Graduation Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2012-2013","Female","Still Enrolled After Four Years Count","Number","-6666"
"Achievement First Hartford Academy District","","2012-2013","Male","Still Enrolled After Four Years Count","Number","-6666"
"Achievement First Hartford Academy District","","2012-2013","Female","Still Enrolled After Four Years Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2012-2013","Male","Still Enrolled After Four Years Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2012-2013","Female","Other Count","Number","-6666"
"Achievement First Hartford Academy District","","2012-2013","Male","Other Count","Number","-6666"
"Achievement First Hartford Academy District","","2012-2013","Female","Other Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2012-2013","Male","Other Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2013-2014","Female","Total Cohort Count","Number","-6666"
"Achievement First Hartford Academy District","","2013-2014","Male","Total Cohort Count","Number","-6666"
"Achievement First Hartford Academy District","","2013-2014","Female","Four Year Graduation Count","Number","-6666"
"Achievement First Hartford Academy District","","2013-2014","Male","Four Year Graduation Count","Number","-6666"
"Achievement First Hartford Academy District","","2013-2014","Female","Four Year Graduation Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2013-2014","Male","Four Year Graduation Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2013-2014","Female","Still Enrolled After Four Years Count","Number","-6666"
"Achievement First Hartford Academy District","","2013-2014","Male","Still Enrolled After Four Years Count","Number","-6666"
"Achievement First Hartford Academy District","","2013-2014","Female","Still Enrolled After Four Years Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2013-2014","Male","Still Enrolled After Four Years Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2013-2014","Female","Other Count","Number","-6666"
"Achievement First Hartford Academy District","","2013-2014","Male","Other Count","Number","-6666"
"Achievement First Hartford Academy District","","2013-2014","Female","Other Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2013-2014","Male","Other Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2014-2015","Female","Total Cohort Count","Number","-6666"
"Achievement First Hartford Academy District","","2014-2015","Male","Total Cohort Count","Number","-6666"
"Achievement First Hartford Academy District","","2014-2015","Female","Four Year Graduation Count","Number","-6666"
"Achievement First Hartford Academy District","","2014-2015","Male","Four Year Graduation Count","Number","-6666"
"Achievement First Hartford Academy District","","2014-2015","Female","Four Year Graduation Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2014-2015","Male","Four Year Graduation Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2014-2015","Female","Still Enrolled After Four Years Count","Number","-6666"
"Achievement First Hartford Academy District","","2014-2015","Male","Still Enrolled After Four Years Count","Number","-6666"
"Achievement First Hartford Academy District","","2014-2015","Female","Still Enrolled After Four Years Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2014-2015","Male","Still Enrolled After Four Years Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2014-2015","Female","Other Count","Number","-6666"
"Achievement First Hartford Academy District","","2014-2015","Male","Other Count","Number","-6666"
"Achievement First Hartford Academy District","","2014-2015","Female","Other Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2014-2015","Male","Other Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2015-2016","Female","Total Cohort Count","Number","22"
"Achievement First Hartford Academy District","","2015-2016","Male","Total Cohort Count","Number","13"
"Achievement First Hartford Academy District","","2015-2016","Female","Four Year Graduation Count","Number","-9999"
"Achievement First Hartford Academy District","","2015-2016","Male","Four Year Graduation Count","Number","-9999"
"Achievement First Hartford Academy District","","2015-2016","Female","Four Year Graduation Rate","Percent","-9999"
"Achievement First Hartford Academy District","","2015-2016","Male","Four Year Graduation Rate","Percent","-9999"
"Achievement First Hartford Academy District","","2015-2016","Female","Still Enrolled After Four Years Count","Number","-9999"
"Achievement First Hartford Academy District","","2015-2016","Male","Still Enrolled After Four Years Count","Number","-9999"
"Achievement First Hartford Academy District","","2015-2016","Female","Still Enrolled After Four Years Rate","Percent","-9999"
"Achievement First Hartford Academy District","","2015-2016","Male","Still Enrolled After Four Years Rate","Percent","-9999"
"Achievement First Hartford Academy District","","2015-2016","Female","Other Count","Number","0"
"Achievement First Hartford Academy District","","2015-2016","Male","Other Count","Number","0"
"Achievement First Hartford Academy District","","2015-2016","Female","Other Rate","Percent","0"
"Achievement First Hartford Academy District","","2015-2016","Male","Other Rate","Percent","-9999"
"Achievement First Hartford Academy District","","2016-2017","Female","Total Cohort Count","Number","21"
"Achievement First Hartford Academy District","","2016-2017","Male","Total Cohort Count","Number","10"
"Achievement First Hartford Academy District","","2016-2017","Female","Four Year Graduation Count","Number","-9999"
"Achievement First Hartford Academy District","","2016-2017","Male","Four Year Graduation Count","Number","-9999"
"Achievement First Hartford Academy District","","2016-2017","Female","Four Year Graduation Rate","Percent","-9999"
"Achievement First Hartford Academy District","","2016-2017","Male","Four Year Graduation Rate","Percent","-9999"
"Achievement First Hartford Academy District","","2016-2017","Female","Still Enrolled After Four Years Count","Number","-9999"
"Achievement First Hartford Academy District","","2016-2017","Male","Still Enrolled After Four Years Count","Number","-9999"
"Achievement First Hartford Academy District","","2016-2017","Female","Still Enrolled After Four Years Rate","Percent","-9999"
"Achievement First Hartford Academy District","","2016-2017","Male","Still Enrolled After Four Years Rate","Percent","-9999"
"Achievement First Hartford Academy District","","2016-2017","Female","Other Count","Number","-9999"
"Achievement First Hartford Academy District","","2016-2017","Male","Other Count","Number","0"
"Achievement First Hartford Academy District","","2016-2017","Female","Other Rate","Percent","-9999"
"Achievement First Hartford Academy District","","2016-2017","Male","Other Rate","Percent","-9999"
"Amistad Academy District","","2010-2011","Female","Total Cohort Count","Number","17"
"Amistad Academy District","","2010-2011","Male","Total Cohort Count","Number","12"
"Amistad Academy District","","2010-2011","Female","Four Year Graduation Count","Number","11"
"Amistad Academy District","","2010-2011","Male","Four Year Graduation Count","Number","6"
"Amistad Academy District","","2010-2011","Female","Four Year Graduation Rate","Percent","64.7"
"Amistad Academy District","","2010-2011","Male","Four Year Graduation Rate","Percent","50.0"
"Amistad Academy District","","2010-2011","Female","Still Enrolled After Four Years Count","Number","-9999"
"Amistad Academy District","","2010-2011","Male","Still Enrolled After Four Years Count","Number","-9999"
"Amistad Academy District","","2010-2011","Female","Still Enrolled After Four Years Rate","Percent","-9999"
"Amistad Academy District","","2010-2011","Male","Still Enrolled After Four Years Rate","Percent","-9999"
"Amistad Academy District","","2010-2011","Female","Other Count","Number","-9999"
"Amistad Academy District","","2010-2011","Male","Other Count","Number","-9999"
"Amistad Academy District","","2010-2011","Female","Other Rate","Percent","-9999"
"Amistad Academy District","","2010-2011","Male","Other Rate","Percent","-9999"
"Amistad Academy District","","2011-2012","Female","Total Cohort Count","Number","8"
"Amistad Academy District","","2011-2012","Male","Total Cohort Count","Number","13"
"Amistad Academy District","","2011-2012","Female","Four Year Graduation Count","Number","6"
"Amistad Academy District","","2011-2012","Male","Four Year Graduation Count","Number","9"
"Amistad Academy District","","2011-2012","Female","Four Year Graduation Rate","Percent","75.0"
"Amistad Academy District","","2011-2012","Male","Four Year Graduation Rate","Percent","69.2"
"Amistad Academy District","","2011-2012","Female","Still Enrolled After Four Years Count","Number","-9999"
"Amistad Academy District","","2011-2012","Male","Still Enrolled After Four Years Count","Number","-9999"
"Amistad Academy District","","2011-2012","Female","Still Enrolled After Four Years Rate","Percent","-9999"
"Amistad Academy District","","2011-2012","Male","Still Enrolled After Four Years Rate","Percent","-9999"
"Amistad Academy District","","2011-2012","Female","Other Count","Number","-9999"
"Amistad Academy District","","2011-2012","Male","Other Count","Number","-9999"
"Amistad Academy District","","2011-2012","Female","Other Rate","Percent","-9999"
"Amistad Academy District","","2011-2012","Male","Other Rate","Percent","-9999"
"Amistad Academy District","","2012-2013","Female","Total Cohort Count","Number","12"
"Amistad Academy District","","2012-2013","Male","Total Cohort Count","Number","11"
"Amistad Academy District","","2012-2013","Female","Four Year Graduation Count","Number","9"
"Amistad Academy District","","2012-2013","Male","Four Year Graduation Count","Number","7"
"Amistad Academy District","","2012-2013","Female","Four Year Graduation Rate","Percent","75.0"
"Amistad Academy District","","2012-2013","Male","Four Year Graduation Rate","Percent","63.6"
"Amistad Academy District","","2012-2013","Female","Still Enrolled After Four Years Count","Number","-9999"
"Amistad Academy District","","2012-2013","Male","Still Enrolled After Four Years Count","Number","-9999"
"Amistad Academy District","","2012-2013","Female","Still Enrolled After Four Years Rate","Percent","-9999"
"Amistad Academy District","","2012-2013","Male","Still Enrolled After Four Years Rate","Percent","-9999"
"Amistad Academy District","","2012-2013","Female","Other Count","Number","-9999"
"Amistad Academy District","","2012-2013","Male","Other Count","Number","-9999"
"Amistad Academy District","","2012-2013","Female","Other Rate","Percent","-9999"
"Amistad Academy District","","2012-2013","Male","Other Rate","Percent","-9999"
"Amistad Academy District","","2013-2014","Female","Total Cohort Count","Number","15"
"Amistad Academy District","","2013-2014","Male","Total Cohort Count","Number","8"
"Amistad Academy District","","2013-2014","Female","Four Year Graduation Count","Number","12"
"Amistad Academy District","","2013-2014","Male","Four Year Graduation Count","Number","7"
"Amistad Academy District","","2013-2014","Female","Four Year Graduation Rate","Percent","80.0"
"Amistad Academy District","","2013-2014","Male","Four Year Graduation Rate","Percent","87.5"
"Amistad Academy District","","2013-2014","Female","Still Enrolled After Four Years Count","Number","-9999"
"Amistad Academy District","","2013-2014","Male","Still Enrolled After Four Years Count","Number","-9999"
"Amistad Academy District","","2013-2014","Female","Still Enrolled After Four Years Rate","Percent","-9999"
"Amistad Academy District","","2013-2014","Male","Still Enrolled After Four Years Rate","Percent","-9999"
"Amistad Academy District","","2013-2014","Female","Other Count","Number","-9999"
"Amistad Academy District","","2013-2014","Male","Other Count","Number","-9999"
"Amistad Academy District","","2013-2014","Female","Other Rate","Percent","-9999"
"Amistad Academy District","","2013-2014","Male","Other Rate","Percent","-9999"
"Amistad Academy District","","2014-2015","Female","Total Cohort Count","Number","16"
"Amistad Academy District","","2014-2015","Male","Total Cohort Count","Number","13"
"Amistad Academy District","","2014-2015","Female","Four Year Graduation Count","Number","14"
"Amistad Academy District","","2014-2015","Male","Four Year Graduation Count","Number","10"
"Amistad Academy District","","2014-2015","Female","Four Year Graduation Rate","Percent","87.5"
"Amistad Academy District","","2014-2015","Male","Four Year Graduation Rate","Percent","76.9"
"Amistad Academy District","","2014-2015","Female","Still Enrolled After Four Years Count","Number","-9999"
"Amistad Academy District","","2014-2015","Male","Still Enrolled After Four Years Count","Number","-9999"
"Amistad Academy District","","2014-2015","Female","Still Enrolled After Four Years Rate","Percent","-9999"
"Amistad Academy District","","2014-2015","Male","Still Enrolled After Four Years Rate","Percent","-9999"
"Amistad Academy District","","2014-2015","Female","Other Count","Number","-9999"
"Amistad Academy District","","2014-2015","Male","Other Count","Number","-9999"
"Amistad Academy District","","2014-2015","Female","Other Rate","Percent","-9999"
"Amistad Academy District","","2014-2015","Male","Other Rate","Percent","-9999"
"Amistad Academy District","","2015-2016","Female","Total Cohort Count","Number","14"
"Amistad Academy District","","2015-2016","Male","Total Cohort Count","Number","16"
"Amistad Academy District","","2015-2016","Female","Four Year Graduation Count","Number","14"
"Amistad Academy District","","2015-2016","Male","Four Year Graduation Count","Number","13"
"Amistad Academy District","","2015-2016","Female","Four Year Graduation Rate","Percent","-9999"
"Amistad Academy District","","2015-2016","Male","Four Year Graduation Rate","Percent","-9999"
"Amistad Academy District","","2015-2016","Female","Still Enrolled After Four Years Count","Number","0"
"Amistad Academy District","","2015-2016","Male","Still Enrolled After Four Years Count","Number","-9999"
"Amistad Academy District","","2015-2016","Female","Still Enrolled After Four Years Rate","Percent","-9999"
"Amistad Academy District","","2015-2016","Male","Still Enrolled After Four Years Rate","Percent","-9999"
"Amistad Academy District","","2015-2016","Female","Other Count","Number","0"
"Amistad Academy District","","2015-2016","Male","Other Count","Number","-9999"
"Amistad Academy District","","2015-2016","Female","Other Rate","Percent","-9999"
"Amistad Academy District","","2015-2016","Male","Other Rate","Percent","-9999"
"Amistad Academy District","","2016-2017","Female","Total Cohort Count","Number","25"
"Amistad Academy District","","2016-2017","Male","Total Cohort Count","Number","18"
"Amistad Academy District","","2016-2017","Female","Four Year Graduation Count","Number","-9999"
"Amistad Academy District","","2016-2017","Male","Four Year Graduation Count","Number","-9999"
"Amistad Academy District","","2016-2017","Female","Four Year Graduation Rate","Percent","-9999"
"Amistad Academy District","","2016-2017","Male","Four Year Graduation Rate","Percent","-9999"
"Amistad Academy District","","2016-2017","Female","Still Enrolled After Four Years Count","Number","0"
"Amistad Academy District","","2016-2017","Male","Still Enrolled After Four Years Count","Number","-9999"
"Amistad Academy District","","2016-2017","Female","Still Enrolled After Four Years Rate","Percent","0.0"
"Amistad Academy District","","2016-2017","Male","Still Enrolled After Four Years Rate","Percent","-9999"
"Amistad Academy District","","2016-2017","Female","Other Count","Number","-9999"
"Amistad Academy District","","2016-2017","Male","Other Count","Number","-9999"
"Amistad Academy District","","2016-2017","Female","Other Rate","Percent","-9999"
"Amistad Academy District","","2016-2017","Male","Other Rate","Percent","-9999"
"Andover School District","","2010-2011","Female","Total Cohort Count","Number","-6666"
"Andover School District","","2010-2011","Male","Total Cohort Count","Number","-6666"
"Andover School District","","2010-2011","Female","Four Year Graduation Count","Number","-6666"
"Andover School District","","2010-2011","Male","Four Year Graduation Count","Number","-6666"
"Andover School District","","2010-2011","Female","Four Year Graduation Rate","Percent","-6666"
"Andover School District","","2010-2011","Male","Four Year Graduation Rate","Percent","-6666"
"Andover School District","","2010-2011","Female","Still Enrolled After Four Years Count","Number","-6666"
"Andover School District","","2010-2011","Male","Still Enrolled After Four Years Count","Number","-6666"
"Andover School District","","2010-2011","Female","Still Enrolled After Four Years Rate","Percent","-6666"
"Andover School District","","2010-2011","Male","Still Enrolled After Four Years Rate","Percent","-6666"
"Andover School District","","2010-2011","Female","Other Count","Number","-6666"
"Andover School District","","2010-2011","Male","Other Count","Number","-6666"
"Andover School District","","2010-2011","Female","Other Rate","Percent","-6666"
"Andover School District","","2010-2011","Male","Other Rate","Percent","-6666"
"Andover School District","","2011-2012","Female","Total Cohort Count","Number","-6666"
"Andover School District","","2011-2012","Male","Total Cohort Count","Number","-6666"
"Andover School District","","2011-2012","Female","Four Year Graduation Count","Number","-6666"
"Andover School District","","2011-2012","Male","Four Year Graduation Count","Number","-6666"
"Andover School District","","2011-2012","Female","Four Year Graduation Rate","Percent","-6666"
"Andover School District","","2011-2012","Male","Four Year Graduation Rate","Percent","-6666"
"Andover School District","","2011-2012","Female","Still Enrolled After Four Years Count","Number","-6666"
"Andover School District","","2011-2012","Male","Still Enrolled After Four Years Count","Number","-6666"
"Andover School District","","2011-2012","Female","Still Enrolled After Four Years Rate","Percent","-6666"
"Andover School District","","2011-2012","Male","Still Enrolled After Four Years Rate","Percent","-6666"
"Andover School District","","2011-2012","Female","Other Count","Number","-6666"
"Andover School District","","2011-2012","Male","Other Count","Number","-6666"
"Andover School District","","2011-2012","Female","Other Rate","Percent","-6666"
"Andover School District","","2011-2012","Male","Other Rate","Percent","-6666"
"Andover School District","","2012-2013","Female","Total Cohort Count","Number","-6666"
"Andover School District","","2012-2013","Male","Total Cohort Count","Number","-6666"
"Andover School District","","2012-2013","Female","Four Year Graduation Count","Number","-6666"
"Andover School District","","2012-2013","Male","Four Year Graduation Count","Number","-6666"
"Andover School District","","2012-2013","Female","Four Year Graduation Rate","Percent","-6666"
"Andover School District","","2012-2013","Male","Four Year Graduation Rate","Percent","-6666"
"Andover School District","","2012-2013","Female","Still Enrolled After Four Years Count","Number","-6666"
"Andover School District","","2012-2013","Male","Still Enrolled After Four Years Count","Number","-6666"
"Andover School District","","2012-2013","Female","Still Enrolled After Four Years Rate","Percent","-6666"
"Andover School District","","2012-2013","Male","Still Enrolled After Four Years Rate","Percent","-6666"
