"Four-Year Graduation Rates, Trend"
"All Districts, Gender"

"",,"Graduates",,,,
"",,"Four-Year Graduation Rate by Year",,,,
"District","Gender","2010-11","2011-12","2012-13","2013-14","2014-15"
"Amistad Academy District","Female",64.7,75.0,75.0,80.0,87.5
"Amistad Academy District","Male",50.0,69.2,63.6,87.5,76.9
"Ansonia School District","Female",72.3,82.8,89.5,77.3,86.5
"Ansonia School District","Male",66.0,69.8,61.7,75.6,81.6
"Avon School District","Female",97.8,97.9,95.1,98.7,96.4
"Avon School District","Male",93.2,94.4,96.5,95.9,95.5
"Berlin School District","Female",93.6,95.9,95.7,95.7,99.0
"Berlin School District","Male",94.1,93.1,96.7,94.2,89.5
"Bethel School District","Female",95.5,96.9,91.5,94.9,97.2
"Bethel School District","Male",89.7,91.0,94.0,90.6,94.5
"Bloomfield School District","Female",82.6,79.8,91.5,91.7,87.0
"Bloomfield School District","Male",66.3,76.1,85.5,83.5,88.2
"Bolton School District","Female",95.8,94.6,97.8,96.2,100.0
"Bolton School District","Male",92.3,86.1,97.2,92.0,93.8
"Branford School District","Female",94.8,95.3,93.5,94.7,94.6
"Branford School District","Male",92.6,90.7,90.7,87.2,85.4
"Bridgeport Achievement First District","Female","N/A","N/A","N/A","N/A",94.1
"Bridgeport Achievement First District","Male","N/A","N/A","N/A","N/A",92.9
"Bridgeport School District","Female",67.6,72.6,72.6,78.3,68.6
"Bridgeport School District","Male",53.8,60.1,61.9,64.9,58.4
"Bristol School District","Female",80.4,87.1,82.5,87.6,86.7
"Bristol School District","Male",73.0,83.0,77.5,76.4,76.4
"Brookfield School District","Female",96.7,96.5,96.8,96.6,96.8
"Brookfield School District","Male",93.1,98.2,94.9,97.4,93.6
"Canton School District","Female",94.6,100.0,93.7,96.9,96.2
"Canton School District","Male",93.8,94.8,95.1,91.5,94.9
"Capitol Region Education Council","Female",86.0,84.4,84.8,88.5,92.2
"Capitol Region Education Council","Male",80.3,74.4,85.2,88.9,87.7
"Cheshire School District","Female",98.2,96.0,96.3,96.9,98.0
"Cheshire School District","Male",92.4,95.8,92.3,93.9,96.4
"Clinton School District","Female",97.4,91.8,91.4,90.2,94.6
"Clinton School District","Male",86.6,93.5,85.3,94.4,86.4
"Colchester School District","Female",97.5,95.7,96.1,96.4,94.3
"Colchester School District","Male",88.3,93.4,90.4,94.4,89.5
"Common Ground High School District","Female",90.5,84.6,87.5,93.3,100.0
"Common Ground High School District","Male",82.4,94.4,90.9,85.7,100.0
"Connecticut Technical High School System","Female",92.4,95.6,95.5,95.8,96.3
"Connecticut Technical High School System","Male",94.0,96.1,96.8,96.3,98.1
"Coventry School District","Female",91.9,90.0,91.7,98.6,95.0
"Coventry School District","Male",88.1,83.1,89.4,93.7,91.2
