"Four-Year Graduation Rates, Trend"
"All Districts, Gender"

"",,"Non-Graduates",,,,,,,,,
"",,"Four-Year Still Enrolled Rate by Year",,,,,"Four-Year Other Rate by Year",,,,
"District","Gender","2010-11","2011-12","2012-13","2013-14","2014-15","2010-11","2011-12","2012-13","2013-14","2014-15"
"Amistad Academy District","Female","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","Male","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","Female",19.1,13.1,8.6,16.0,"*",8.5,"*","*","*",9.5
"Ansonia School District","Male",18.1,22.6,16.8,18.3,"*",16.0,"*","*","*",10.2
"Avon School District","Female","*","*","*","*","*","*","*","*","*","*"
"Avon School District","Male","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","Female",4.8,"*","*","*","*","*","*","*","*","*"
"Berlin School District","Male",5.1,"*","*","*","*","*","*","*","*","*"
"Bethel School District","Female","*","*","*","*","*","*","*",6.8,5.1,"*"
"Bethel School District","Male","*","*","*","*","*","*","*",5.2,4.7,"*"
"Bloomfield School District","Female",9.8,"*","*","*","*",7.6,10.6,"*",7.1,"*"
"Bloomfield School District","Male",12.6,"*","*","*","*",21.1,19.6,"*",9.4,"*"
"Bolton School District","Female","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","Male","*","*","*","*","*","*","*","*","*","*"
"Branford School District","Female","*","*","*",4.0,4.6,"*","*","*","*","*"
"Branford School District","Male","*","*","*",7.4,6.5,"*","*","*","*","*"
"Bridgeport Achievement First District","Female","N/A","N/A","N/A","N/A","*","N/A","N/A","N/A","N/A","*"
"Bridgeport Achievement First District","Male","N/A","N/A","N/A","N/A","*","N/A","N/A","N/A","N/A","*"
"Bridgeport School District","Female",23.5,20.7,19.6,15.2,22.8,8.9,6.6,7.8,6.5,8.7
"Bridgeport School District","Male",29.1,27.9,23.9,22.9,26.6,17.1,11.9,14.2,12.2,15.0
"Bristol School District","Female",12.0,8.5,10.8,6.8,9.4,7.6,4.4,6.7,5.6,3.9
"Bristol School District","Male",15.3,8.3,12.4,11.4,15.3,11.6,8.7,10.1,12.2,8.3
"Brookfield School District","Female","*","*","*","*","*","*","*","*","*","*"
"Brookfield School District","Male","*","*","*","*","*","*","*","*","*","*"
"Canton School District","Female","*","*","*","*","*","*","*","*","*","*"
"Canton School District","Male","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","Female",11.6,12.6,12.3,9.0,5.2,"*","*","*","*","*"
"Capitol Region Education Council","Male",10.2,16.1,8.3,9.4,5.4,"*","*","*","*","*"
"Cheshire School District","Female","*","*","*","*","*","*","*","*","*","*"
"Cheshire School District","Male","*","*","*","*","*","*","*","*","*","*"
"Clinton School District","Female","*","*","*","*","*","*","*","*","*","*"
"Clinton School District","Male","*","*","*","*","*","*","*","*","*","*"
"Colchester School District","Female","*","*","*","*","*","*","*","*","*","*"
"Colchester School District","Male","*","*","*","*","*","*","*","*","*","*"
"Common Ground High School District","Female","*","*","*","*","*","*","*","*","*","*"
"Common Ground High School District","Male","*","*","*","*","*","*","*","*","*","*"
"Connecticut Technical High School System","Female",7.4,4.2,4.1,3.2,3.3,"*","*","*",1.0,"*"
"Connecticut Technical High School System","Male",5.3,3.5,2.7,2.6,1.5,"*","*","*",1.1,"*"
"Coventry School District","Female","*","*","*","*","*","*","*","*","*","*"
"Coventry School District","Male","*","*","*","*","*","*","*","*","*","*"
"Cromwell School District","Female","*","*","*","*","*","*","*","*","*","*"
"Cromwell School District","Male","*","*","*","*","*","*","*","*","*","*"
"Danbury School District","Female",11.0,9.9,10.3,11.4,10.3,7.1,8.7,9.8,5.4,6.9
"Danbury School District","Male",14.8,12.4,12.8,10.7,14.7,12.5,15.9,16.1,16.0,13.7
"Darien School District","Female","*","*","*","*","*","*","*","*","*","*"
"Darien School District","Male","*","*","*","*","*","*","*","*","*","*"
"Department of Mental Health and Addiction Services","Female","N/A","N/A","*","*","N/A","N/A","N/A","*","*","N/A"
"Department of Mental Health and Addiction Services","Male","N/A","N/A","*","*","N/A","N/A","N/A","*","*","N/A"
"Derby School District","Female","*",16.3,"*","*","*","*","*",25.0,"*","*"
"Derby School District","Male","*",14.0,"*","*","*","*","*",19.1,"*","*"
"East Granby School District","Female","*","*","*","*","*","*","*","*","*","*"
"East Granby School District","Male","*","*","*","*","*","*","*","*","*","*"
"East Haddam School District","Female","*","*","*","*","*","*","*","*","*","*"
"East Haddam School District","Male","*","*","*","*","*","*","*","*","*","*"
"East Hampton School District","Female","*","*","*","*","*","*","*","*","*","*"
"East Hampton School District","Male","*","*","*","*","*","*","*","*","*","*"
"East Hartford School District","Female",10.8,12.0,11.6,9.9,5.1,4.9,5.1,5.0,8.3,3.6
"East Hartford School District","Male",12.7,15.4,16.2,10.2,9.7,12.7,14.0,10.8,14.9,5.5
"East Haven School District","Female",8.6,13.4,13.3,11.1,19.3,"*",6.7,"*","*","*"
"East Haven School District","Male",10.8,26.1,22.6,18.2,20.8,"*",9.9,"*","*","*"
"East Lyme School District","Female","*","*","*","*","*","*","*",3.8,"*","*"
"East Lyme School District","Male","*","*","*","*","*","*","*",6.0,"*","*"
"East Windsor School District","Female","*","*","*","*","*","*","*","*","*","*"
"East Windsor School District","Male","*","*","*","*","*","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Female","*","*","*","*","*","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Male","*","*","*","*","*","*","*","*","*","*"
"Ellington School District","Female","*","*","*","*","*","*","*","*","*","*"
"Ellington School District","Male","*","*","*","*","*","*","*","*","*","*"
"Elm City College Preparatory School District","Female","N/A","*","*","*","*","N/A","*","*","*","*"
"Elm City College Preparatory School District","Male","N/A","*","*","*","*","N/A","*","*","*","*"
"Enfield School District","Female",9.6,6.3,7.3,8.3,5.8,4.8,4.7,3.2,3.1,3.9
"Enfield School District","Male",10.1,11.6,8.9,9.1,13.4,12.3,7.0,5.8,6.5,3.8
"Explorations District","Female","*",33.3,"*","*","*","*","*","*","*","*"
"Explorations District","Male","*",60.0,"*","*","*","*","*","*","*","*"
"Fairfield School District","Female","*",2.3,2.3,"*",1.9,2.1,2.9,3.8,"*","*"
"Fairfield School District","Male","*",2.9,1.9,"*",2.9,6.0,3.6,6.6,"*","*"
"Farmington School District","Female",4.2,"*","*","*","*","*","*","*","*","*"
"Farmington School District","Male",4.1,"*","*","*","*","*","*","*","*","*"
"Glastonbury School District","Female","*","*","*","*","*","*","*","*",2.9,"*"
"Glastonbury School District","Male","*","*","*","*","*","*","*","*",2.9,"*"
"Granby School District","Female","*","*","*","*","*","*","*","*","*","*"
"Granby School District","Male","*","*","*","*","*","*","*","*","*","*"
"Greenwich School District","Female","*",2.9,"*","*","*",4.6,2.2,2.8,3.3,2.2
"Greenwich School District","Male","*",3.9,"*","*","*",3.7,6.3,4.7,4.2,5.2
"Griswold School District","Female",9.4,9.3,"*",7.0,"*",5.7,"*","*","*","*"
"Griswold School District","Male",14.9,10.2,"*",11.9,"*",8.5,"*","*","*","*"
"Groton School District","Female",16.8,17.4,10.1,9.2,11.2,"*",3.6,4.2,"*","*"
"Groton School District","Male",15.3,11.8,14.5,14.0,7.0,"*",3.9,6.9,"*","*"
"Guilford School District","Female","*","*","*","*","*","*","*","*","*","*"
"Guilford School District","Male","*","*","*","*","*","*","*","*","*","*"
"Hamden School District","Female",10.1,7.8,5.6,2.8,6.2,4.2,4.3,5.2,3.8,"*"
"Hamden School District","Male",8.7,9.4,4.9,4.0,7.1,10.4,9.8,13.9,10.5,"*"
"Hartford School District","Female",24.6,17.2,19.8,14.8,16.6,9.1,13.5,4.2,8.9,8.7
"Hartford School District","Male",26.1,18.6,24.2,16.6,19.8,13.7,21.3,9.0,16.2,14.4
"Killingly School District","Female",20.4,10.9,10.0,6.4,10.6,"*",7.6,6.4,6.4,7.7
"Killingly School District","Male",25.6,19.2,17.7,14.8,15.2,"*",8.1,15.9,11.1,13.1
"Learn","Female","N/A","N/A","*","*","*","N/A","N/A","*","*","*"
"Learn","Male","N/A","N/A","*","*","*","N/A","N/A","*","*","*"
"Lebanon School District","Female","*","*","*","*","*","*","*","*","*","*"
"Lebanon School District","Male","*","*","*","*","*","*","*","*","*","*"
"Ledyard School District","Female",5.0,6.1,"*","*","*","*","*","*","*","*"
"Ledyard School District","Male",6.9,7.1,"*","*","*","*","*","*","*","*"
"Lisbon School District","Female","*","*","*","*","N/A","*","*","*","*","N/A"
"Lisbon School District","Male","*","*","*","*","N/A","*","*","*","*","N/A"
"Litchfield School District","Female","*","*","*","*","*","*","*","*","*","*"
"Litchfield School District","Male","*","*","*","*","*","*","*","*","*","*"
"Madison School District","Female","*","*","*","*","*","*","*","*","*","*"
"Madison School District","Male","*","*","*","*","*","*","*","*","*","*"
"Manchester School District","Female",18.9,15.7,15.4,7.6,10.8,8.7,5.5,5.9,8.1,4.7
"Manchester School District","Male",16.2,18.6,14.3,11.3,14.9,13.9,13.7,14.3,8.7,8.1
"Meriden School District","Female",20.8,23.2,18.8,14.6,16.9,4.5,4.8,5.5,4.9,5.6
